,Composer,Track URL,Track Title,Duration (seconds),Publication,Performer URL,Performer,Record,Release URL,Release Title,Release Group,date,Date
1,"Schubert, Franz",http://musicbrainz.org/track/18213870#_,"Sonata in G major, op. 78, D894: Molto moderato e cantabile",1188.0,http://musicbrainz.org/recording/c5ac68be-0014-4a18-ba90-4bedd44d5728#_,http://musicbrainz.org/artist/64cf3646-fde3-4f5e-8741-8b4d21917785#_,"Pires, Maria João",,,,,,
2,"Schubert, Franz",http://musicbrainz.org/track/18817429#_,"Sonata in G major, Op. 78 D894 (Fantasie - Sonate): I. Molto moderato e cantabile",1192.0,http://musicbrainz.org/recording/f34370b4-f72b-4dbc-ac80-aaba32384f53#_,http://musicbrainz.org/artist/c4ee8d52-510b-429d-a33d-6e9adcbb978b#_,"Dalberto, Michel",,,,,,
3,"Schubert, Franz",http://musicbrainz.org/track/3554190#_,"Sonata in G major, D894: III. Menuetto: Allegro moderato — Trio",269.733,http://musicbrainz.org/recording/dc4ebd03-d563-4947-8b24-5c3712b3197d#_,http://musicbrainz.org/artist/cb535c4c-711b-4be1-98f3-b6b5f8955d41#_,"Schiff, András",,,,,,
4,"Schubert, Franz",http://musicbrainz.org/track/10160153#_,"Piano Sonata in G major, D894: III Menuetto: Allegro moderato",294.733,http://musicbrainz.org/recording/b05a09d9-ba4b-486c-bcfa-1d8cb94aae45#_,http://musicbrainz.org/artist/4a37c64f-4151-4c4b-ab69-a58450f9967e#_,"Brendel, Alfred",,,,,,
5,"Schubert, Franz",http://musicbrainz.org/track/18817430#_,"Sonata in G major, Op. 78 D894 (Fantasie - Sonate): II. Andante",478.0,http://musicbrainz.org/recording/40f86964-73e6-4e37-b75b-e5fe5c7e1b30#_,http://musicbrainz.org/artist/c4ee8d52-510b-429d-a33d-6e9adcbb978b#_,"Dalberto, Michel",,,,,,
6,"Schubert, Franz",http://musicbrainz.org/track/6741010#_,"Piano Sonata in G major, D894: IV. Allegretto",491.0,http://musicbrainz.org/recording/2d22f3f9-33c1-4540-8669-e277490c0c3e#_,http://musicbrainz.org/artist/bec02ec4-34be-43db-9be1-006606174fd2#_,"Lupu, Radu",http://musicbrainz.org/record/391439#_,http://musicbrainz.org/release/7afca43f-2e11-4ed8-bcd3-fbd719153dab#_,9 Piano Sonatas / Moments Musicaux,http://musicbrainz.org/release/7afca43f-2e11-4ed8-bcd3-fbd719153dab#525d4e18-3d00-31b9-a58b-a146a916de8f,2005-11-07,2005-11-07T00:00:00
7,"Schubert, Franz",http://musicbrainz.org/track/6741010#_,"Piano Sonata in G major, D894: IV. Allegretto",491.0,http://musicbrainz.org/recording/2d22f3f9-33c1-4540-8669-e277490c0c3e#_,http://musicbrainz.org/artist/bec02ec4-34be-43db-9be1-006606174fd2#_,"Lupu, Radu",http://musicbrainz.org/record/391439#_,http://musicbrainz.org/release/7afca43f-2e11-4ed8-bcd3-fbd719153dab#_,9 Piano Sonatas / Moments Musicaux,http://musicbrainz.org/release/7afca43f-2e11-4ed8-bcd3-fbd719153dab#489ce91b-6658-3307-9877-795b68554c98,2006-01-10,2006-01-10T00:00:00
8,"Schubert, Franz",http://musicbrainz.org/track/6741009#_,"Piano Sonata in G major, D894: III. Menuetto e trio: Allegro moderato",250.533,http://musicbrainz.org/recording/5d2e34ca-1150-4b7f-963f-5cd42cfaf7da#_,http://musicbrainz.org/artist/bec02ec4-34be-43db-9be1-006606174fd2#_,"Lupu, Radu",http://musicbrainz.org/record/391439#_,http://musicbrainz.org/release/7afca43f-2e11-4ed8-bcd3-fbd719153dab#_,9 Piano Sonatas / Moments Musicaux,http://musicbrainz.org/release/7afca43f-2e11-4ed8-bcd3-fbd719153dab#525d4e18-3d00-31b9-a58b-a146a916de8f,2005-11-07,2005-11-07T00:00:00
9,"Schubert, Franz",http://musicbrainz.org/track/6741009#_,"Piano Sonata in G major, D894: III. Menuetto e trio: Allegro moderato",250.533,http://musicbrainz.org/recording/5d2e34ca-1150-4b7f-963f-5cd42cfaf7da#_,http://musicbrainz.org/artist/bec02ec4-34be-43db-9be1-006606174fd2#_,"Lupu, Radu",http://musicbrainz.org/record/391439#_,http://musicbrainz.org/release/7afca43f-2e11-4ed8-bcd3-fbd719153dab#_,9 Piano Sonatas / Moments Musicaux,http://musicbrainz.org/release/7afca43f-2e11-4ed8-bcd3-fbd719153dab#489ce91b-6658-3307-9877-795b68554c98,2006-01-10,2006-01-10T00:00:00
10,"Schubert, Franz",http://musicbrainz.org/track/25894374#_,"Sonata in G major, D894: II. Andante",473.16,http://musicbrainz.org/recording/ba179e15-c6cf-49ac-9575-89e5d32a8995#_,http://musicbrainz.org/artist/cb535c4c-711b-4be1-98f3-b6b5f8955d41#_,"Schiff, András",,,,,,
11,"Schubert, Franz",http://musicbrainz.org/track/18817432#_,"Sonata in G major, Op. 78 D894 (Fantasie - Sonate): IV. Allegretto",522.0,http://musicbrainz.org/recording/d7202f6a-8b72-4cc7-9265-f3f3cf1eebdc#_,http://musicbrainz.org/artist/c4ee8d52-510b-429d-a33d-6e9adcbb978b#_,"Dalberto, Michel",,,,,,
12,"Schubert, Franz",http://musicbrainz.org/track/3554188#_,"Sonata in G major, D894: I. Molto moderato e cantabile",1006.84,http://musicbrainz.org/recording/f7caa44d-57a1-4774-9123-1fc1e82147f8#_,http://musicbrainz.org/artist/cb535c4c-711b-4be1-98f3-b6b5f8955d41#_,"Schiff, András",,,,,,
